Ime kluba,Opis kartice,Naziv fotografije
AK Sloboda,"Varaždinsko fiskulturno društvo Sloboda osnovano je 1. 7. 1945. bavilo se tjelovježbom, klizanjem, skijanjem, tenisom, ping-pongom, planinarstvom, ženskim sportovima i šahom, a od kraja 1945. i hrvanjem. Atletska sekcija počinje jače djelovati od 1946., a od 1949. djeluju pod imenom Atletskog kluba Sloboda. Okuplja mnoge sportaše u svojim redovima od kojih su neki postigli i vrhunske rezultate.",1.jpg - AK Sloboda 1987.
Društvo za tjelovježbu Varaždinski sokol,"Širenjem sokolske ideje i u Varaždinu dolazi do inicijative za pokretanje sokolskog društva. Društvo je aktivno radilo od 1. 3. 1878. do 1883., odnosno do 1885. Vježbalo se u prostorima Streljane u Graberju. Na prvom međusokolskom natjecanju u Zagrebu 1878., Stjepan Sekovanić je osvojio srebrnu medalju. U Graberju su 8. rujna 1882. organizirali održavanje javne vježbe.",
RFD/RSD Tekstilac,"Radničko fiskulturno društvo osnovano je početkom srpnja 1945., a okupljalo je članove iz varaždinskih tekstilnih industrija. Bavilo se tjelovježbom, nogometom, odbojkom, hazenom i košarkom, ping-pongom, hokejom i klizanjem, biciklizmom, ribolovom, tenisom, planinarstvom, plivanjem i šahom.",
RSD/SD Varteks,U ožujku 1958. RSD Tekstilac promijenio je ime u Radničko sportsko društvo Varteks.,
Hrvatski sokol,"U prosincu 1901. obnovljen je rad sokolstva. Već u srpnju 1902. je izvedena prva javna vježba. Sudjeluju na različitim sletovima u Hrvatskoj, ali na području današnje Slovenije te Češke. 1922. dolazi do raskola u Društvu, a 1925. oduzeta im je gradska gombana. Osnivanjem Sokola Kraljevine Jugoslavije ukinuto je djelovanje nacionalnih organizacija pa tako i Hrvatskog sokola.",
Sokolsko društvo Varaždin,"Nastaje izdvajanjem manjine iz Hrvatskog sokola 1922. na čelu s Bogdanom Svobodom, dr. Stjepanom Stankovićem, Otom Šantelom i Nikolom Metzom. Djelovalo je do travnja 1941.",6.jpg
"ŠK Slavija, atletska sekcija","3. lipnja 1931. formiran je ŠK Slavija, prvotno je okupljao nogomet, tenis i hazenu, a atletska sekcija pokrenuta je 1933. kada Dragan Grims oko sebe okuplja mlade atletičare koji su postigli izvrsne rezultate.",7.jpg
Varaždinski gimnazijski športski klub,"osnovan je 1909., a 1919. objedinjen s građanskim športskim klubom u Varaždinski športski klub. Unutar kluba trenirao se nogomet, atletika i tenis.",
Varaždinski športski klub,osnovan je 3. 6. 1919. objedinjavanjem rada Varaždinskog gimnazijskog športskog kluba i Varaždinskog građanskog športskog kluba. Kao prostor za treniranje prvotno je korištena livada kod Drave da bi 1920. bilo uređeno prvo igralište.,
Varaždinsko športsko društvo,osnovano je 1939. na inicjativu Dragana Grimsa i Artura Takača.,10. jpg
