Datum,Opis kartice,Opis Fotografije,Mijesto i godina,Inventarni broj,Naziv fotografije
1. 3. 1878.,u okviru Varaždinskog sokola vježba se prvi put atletika,,,,
29. i 30.  6. 1878.,Stjepan Sekovanić drugi u skoku u dalj na među-sokolskom natjecanju u Zagrebu,,,,
4. 8. 1901.,prva natjecanja u brzohodnom hodanju u Graberju,,,,
1902.,"atletičari se natječu u nadmetanju protiv drugih 
sokolskih društava",,,,
13. 7. 1902.,prva javna vježba Hrvatskog sokola u Varaždinu,,,,
15. 4. 1909.,osnovan Varaždinski gimnazijski športski klub - VGŠK - trenira se atletika uz nogmet i tenis,,,,
1911.,vježbanje atletike na pašnjaku kod Drave,,,,
12. - 16. 8. 1911.,"na II. svesokolskom sletu u Zagrebu Varaždinci ekipno drugi - Julije Halicki (pobjednik u skoku s motkom), Slavo i Leo Palmović, Oton Šantel, Miroslav Šur i Dragutin Pavlić",Natjecanja na II. svesokolskom sletu u Zagrebu,"Atelier Rechnitzer Zagreb, 1911. ",GMV 76923/152 ,7.0
1916.,"atletičar u Varaždinu je gimnazijalac iz Ivanca, Franjo 
Bukovec koji okuplja prve atletske entuzijaste",Franjo Bukovec,oko 1920.,GMV 106337,8.0
3. 6. 1919.,osnovan Varaždinski športski klub - VŠK,Značka Varaždinskog športskog kluba,"Fran Sorlini, Varaždin, oko 1920.",GMV 61227,9.0
1920.,VŠK dobiva dozvolu da na Opatičkim livadama (današnji prostor Slobode) uredi novo igralište,,,,
8. i 9. 5. 1920.,"varaždinski gimnazijalci sudjeluju na državnom 
srednjoškolskom atletskom natjecanju u Zagrebu i 
osvajaju treće mjesto (natjecali su se i Franjo Bukovec 
i Dragan Geims)",,,,
27. - 28. 5. 1928.,"na međusletskom natjecanju na Sušaku posljednja 
vrsta Hrvatskog sokola iz Varaždina osvojila je ekipno 
1. mjesto",Dio varaždinskog Hrvatskog sokola ,"Foto Exelsior, 1928.",GMV 102659,13.0
14. 5. 1931.,otvorena nova sportska igrališta TIVAR  za nogomet i tenis ,,,,
19. 6. 1932.,oko nogometnog igrališta ŠK Slavija uređena atletska kružna staza duljine 500 m i širine 7 m,,,,
1933.,sekcija za laku atletiku ŠK Slavija - oko nogometnog igrališta uređena atletska kružna staza duljine 500 m i širine 7 m,,,,
1933.,"Dragan Grims okupio prvu generaciju atletičara Slavije - Rudolf Markušić, Artur Takač, Branko Čavić, Ervin Reisinger, Gabrijel Santo, Drago Krnoul, Antun Rak i drugi","Prva generacija atletičara Slavije, 
Petran, Vuk, Grims, Samac, Markušić",Varaždin,GMV 106342,16.0
1. 10. 1933.,prvo atletsko natjecanje na stadionu Slavije,,,,
1934.,Dragan Grims sudjeluje kao sudac na Balkanskim igrama u Zagrebu,Dragan Grims,oko 1927.,GMV 72460,17.0
1935.,"atletičari Slavije D. Grims, Branko Čavić, Artur Takač i Rudolf Markušić prvaci države u štafeti 4 x 3000 m 
(također i 1936. i 1937.)","Pobjednici u u utrci 4 x 3000 m 1935., Grims, Čavić, Takač i Markušić","Varaždin, 1935.",GMV 106338,18.0
1936.,"Rudolf Markušić prvak Jugoslavije u bacanju koplja, a Branko Čavić na 5000 m i 10000 m, dok je Ervin Reisinger prvak u bacanju kladiva",Rudolf Markušić,,GMV 106534,19.0
1939.,osnovano Varaždinsko športsko društvo - VŠD,Plaketa Varaždinskog športskog društva,1940.,GMV 1030/2005 ,20.0
18. 6. 1939.,"na stadionu VŠK oko nogometnog igrališta uređena 
atletska staza duljine 333,3 metra s ostalim atletskim 
borilištima ",,,,
1940.,"juniori VŠD osvajaju drugo mjesto na juniorskom 
atletskom prvenstvu države (Marijan Fabeta prvi na 
1500 m, a štafeta VŠD prva na 4 x 100 m)",,,,
1945.,osnovano Fiskulturno društvo Sloboda,,,,
1948.,"održane pripreme atletske reprezentacije Jugoslavije 
za Olimpijske igre u Londonu",,,,
1948.,Bosiljka Šeb (80 metara s preponama) i Đurđa Borovec (bacanje bombe) osvajaju naslove prvakinja Jugoslavije,,,,
1949.,Đurđa Borovec i Bosiljka Šeb natječu se u reprezentaciji Jugoslavije protiv Švicarske i Italije,,,,
1950.,"Đurđa Borovec osvaja naslov prvakinje Jugoslavije u 
bacanju diska (također i 1952. te 1958.)",Dragan Grims daje kristalni globus Đurđi Borovec,1950-te,35,27.0
1951.,"Bosiljka Šeb osvaja titulu prvakinje Jugoslavije (80 metara s 
preponama, dva puta popravlja državni rekord)",Bosiljka Šeb,,GMV 106536,28.0
1956.,"Zvonko Bezjak prvak Balkana u bacanju kladiva (također i 
1958., 1960. i 1963.)",Reprezentativci Hrvatske u atletici,"Tuzla, 1957.",GMV 106573,29.0
1959.,"bacač kladiva Zvonko Bezjak četverostruki prvak Jugoslavije (1959., 1960., 1961. i 1963.)",Zvonko Bezjak,,bezjak,30.0
1960.,bacač kladiva Zvonko Bezjak nastupio je na OI u Rimu ,,,,
1963.,"Zvonko Bezjak osvojio prvo mjesto na Mediteranskim igrama 
u Napulju u bacanju kladiva",,,,
1964.,"Ivan Pavličević osvaja treće mjesto na juniorskom prvenstvu 
Europe u Varšavi na 3000 m",,,,
1971.,"prvak Jugoslavije u desetoboju (također i 1972. u bacanju 
koplja)",,,,
1975.,"na Balkanskim igrama za juniore u Karlovcu, Željko Knapić 
osvojio tri zlatne i jednu srebrnu medalju, a Dijana Sokač tri 
zlatne medalje",Balkanske igre za juniore u Karlovcu,"Karlovac, 1975.",7,35.0
1976.,"trkači AK Sloboda Boris Kožar, Petar Jelenečki i Slavko
Stokranjec sudjeluju na 18. maratonu u švicarskom Bielu (100 km)",,,,
1976.,YASSA maraton,Naljepnica YASSA maraton,,,
1978.,prva novogodišnja utrka grada Varaždina,Novogodišnja utrka,Varaždin,16,38.0
1979.,"Željko Knapić osvojio srebro na Mediteranskim igrama u 
Splitu (disciplina 4 x 400 metara)",,,,
20. 10. 1979.,održana prva atletska utrka na 100 km - Varaždinska stotka,,,,40.0
1980.,Željko Knapić sudjeluje na OI u Moskvi,,,,
1986.,Marina Flajšman državna prvakinja na 100 m,Marina Flajšman u utrci,,33,43.0
1988.,Josip Lacković četvrti na ultra maratonu u Budimpešti,,,,
1987.,dio natjecanja Univerzijade i u Varaždinu,,,,
1987.,Vesna Bajer državna prvakinja u trci na 800 m,,,,
24. - 27. 8. 1989.,na stadionu Slobode održano Juniorsko prvenstvo u atletici  - JUPEA,"Jupea, Varaždinski dani europskog sjaja","Varaždin, 1989.",46 - 012-1,46.0
1990.,Viktorija Florijan juniorska državna prvakinja u bacanju kugle,Seniorski rekord Viktorije Florijan,"Zagreb, 1993.",28,47.0
1992.,Alpe - Jadran,,,,
1993.,državni rekord Tajane Šipoš u disciplini bacanje koplja,,,,
1998.,Memorijal Ašli Kožar,Plakat - 9. memorijal Ašli Kožar,"Varaždin, 2006.",013-1,51.0
25. - 26. 6. 1999.,Prvenstvo Hrvatske za starije juniore,,,,
2003.,Željko Vincek brončani na Svjetskom juniorskom prvenstvu,,,,
10. 4. 2004.,"plakete HAS za varaždinske atletičare Ožeg, Kožar, Takač",,,,
2005.,"Željko Vincek prvi na Europskom atletskom prvenstvu u Kaunasu, Srebrni na Mediteranskim igrama u Almeriji",,,,
12. 9. 2005.,pojedinačno prvenstvo HALS,,,,
