Naziv predmeta,Mijesto i godina,Materijal i dimenzija,Inventarni broj,Opis predmeta,Naziv fotografije
Franjo Bukovec,oko 1920.,karton: fotografija; 14 x 9 cm,GMV 106337,Fotografija prikazuje varaždinskog atletičara. Franjo Bukovec koji je oko sebe okupio prvu generaciju varaždinskih atletičara.,1.jpg
Plaketa Bacač kamena HAŠK 1903 -1923.,"Robert Frangeš Mihanović, Zagreb, 1923.","kovanje, bronca; 3,1 x 2 x 0,3 cm",GMV 1047/2005,"Četvrtasta metalna plaketa koju je primio atletičar Dragan Grims prilikom 
natjecanja koje se održalo 18 - 19. 8. 1923. godine prilikom 20-godišnjice HAŠK-a (Hrvatskog akademskog športskog kluba).
AV: Reljef ljudskog lika koji baca kamen s ramena, sa strane natpisi HAŠK i 19. 8. 1923.
RV: ZAGREB / 18-19 VIII 923.",2.jpg
Medalja cross countryja na 5000 m,1926.,"bronca, kovanje; pr. 4 cm",GMV 1033/2005,"Medalja koju je osvojio, najvjerojatnije, Dragan Grims na cross country utrci na 5000 m 1926.
AV: Reljefni prikaz dvojice atletičara - trkača na ciljnoj ravnini.
RV: Natpis unutar lovorovog vijenca 5000 / CROSS COUNTRY / 1926.",3.jpg
Dragan Grims,"Varaždin, 1927.","papir: fotografija; 8,2 x 6 cm",GMV 72460,"Fotografija prikazuje Dragana Grimsa, istaknutog varaždinskog sportaša, s motkom. Snimljena je 1927. godine.

Dragan Grims (Varaždin, 4. 9. 1907. — Varaždin, 19. 1. 1994.), atletičar i športski djelatnik, optičar, direktor Gethaldus Varaždin. Nižu gimnaziju završio u Varaždinu, a urarski i optičarski zanat izučio u očevoj radnji te u urarskoj školi u Karlsteinu. Najveći je dio života posvetio športu. Počeo se baviti gimnastikom 1919. u Hrvatskom sokolu u Varaždinu. Atletikom se bavio od 1922. u Varaždinu, od 1923. u zagrebačkom AK Marathon. 1931. osniva atletski klub u Tivarovu športskom klubu Slavija u Varaždinu i pokreće uređenje atletske staze od 500 m te pratećih bacališta i skakališta. Aktivnim natjecanjem i stručnim vođenjem kluba 1934. dobiva status međunarodnog atletskog suca te sudi na Balkanijadi u Zagrebu. Usporedo s atletikom od 1924. bavio se i planinarstvom. Organizator je gradnje planinarskog doma (Filićeva kuća) na Ravnoj gori kraj Trakošćana 1932. Od 1932. bavio se i skijanjem, od 1937. igrao je hokej na ledu, a 1939. zajedno s A. Takačem osniva športsko društvo pod nazivom Varaždinsko športsko društvo s atletskom i hokejaškom sekcijom. Za atletiku je sam izradio nacrt kružne staze i ostalih borilišta. God. 1946. utemeljitelj je samostalnog atletskog kluba Sloboda u Varaždinu, a od 1948. do 1951. jedan je od trenera državne ženske atletske reprezentacije za čije pripreme je u Varaždinu uredio Olimpijski logor. Od 1955. posvećuje se razvoju očne optike. Za zasluge u športu 1987. primio je Certifikat od Juana Antonija Samarancha.
DJELA: Spectrum. Skripta za teoriju i praksu očne optike. Varaždin 1973.",4.jpg
Značka učesnika Balkanskih igara u Zagrebu,"Griesbach i Knaus, Zagreb, 1934.","svila: bronca, kovanje, emajliranje; 8,8 x 3,8 cm, 2 x 1,8 cm ",GMV 1051/2005,Značka koju je primio varaždinski atletičar i sportski radnik Dragan Grims za sudjelovanje na V. Balkanskim igrama u Zagrebu 1934. godine gdje je sudjelovao kao atletski sudac. Značka s prednje strane ima utisnut logo igara u boji i s gornje i donje strane natpis V. BALKANSKE IGRE / ZAGREB VIII-IX-1934. Sa stražnje strane ima iglu s ušicom te sitno ugraviran natpis proizvođača GRIESBACH I KNAUS. Sa značke visi svilena traka narančaste boje koje na sebi ima tamno utisnut prikaz atletičara-trkača.,5.jpg
Medalja za prvo mjesto u skoku s motkom na Prvenstvu Hrvatske,"Franjo Supan, Varaždin; 1935.","bronca, pozlata: kovanje; pr. 3,6 cm",GMV 1049/2005,"Zlatna medalja koju je odvojio atletičar Dragan Grims za 1. mjesto u skoku s motkom na Prvenstvu Hrvatske, zajedno s plaketom (GMV 1113/2005).
AV: Atletičar-trkač u akciji, ispod njega lovorove grančice.
RV: Natpis 28. VII. 35. / MOTKA / I, ispod natpis izrađivača SUPAN / VARAŽDIN.",6.jpg
Članovi atletskog kluba Slavija,"Varaždin, oko 1935.","papir: fotografija; 4,2 x 5,3 cm",GMV 72449,Fotografija prikazuje članove atletskog kluba Slavija iz Varaždina (među njima i istaknutog atletičara Dragana Grimsa) te članove drugog nepoznatog atletskog kluba.,7.jpg
Lovorov vijenac trostrukom prvaku u krosu 4 x 3000 m ŠK Slavija,"Varaždin, 1935. - 1937.","kutija - tkanina: drvo; vijenac - srebrol: tiještenje; 44,5 x 26 cm, v. 30 cm",GMV 1399/2005,"Srebrni lovorov vijenac kojeg su osvojili atletičari ŠK Slavije kao trostruki prvaci u štafetnoj utrci 4 x 3000 m (od 1935. do 1937.) i to na prvenstvu Savske banovine. Prvi pobjednici tih štafeta bili su Grims, Čavić, A. Takač i Markušić, a kasnije je umjesto Grimsa trčao Matišić. Vijenac na sebi ima ugravirane natpise:
PRELAZNA NAGRADA KLUBOVIMA J. L. A. S. / CROSS COUNTRY PRVENSTVO SAVSKE BANOVINE 4 X 3000 MET / TVORNICA TIVAR - ODIJELA VARAŽDIN / 1935. S.K. SLAVIJA VARAŽDIN / 1936. S.K. SLAVIJA VARAŽDIN / 1937 S.K. SLAVIJA VARAŽDIN.",8.jpg
"Pobjednici u u utrci 4 x 3000 m 1935., Grims, Čavić, Takač i Markušić",1935.,karton: fotografija; 18 x 24 cm,GMV 106338,"Dragan Grims, Branko Čavić, Artur Takač i Rudolf Markušić",9.jpg
Plaketa Cross country prvaku Savske banovine,"Varaždin, 1935.","kovanje, drvo, posrebrna legura; 14,8 x 12,6 x 1,3 cm",GMV 1099/2005,"Drvena plaketa u obliku trokuta koja ima na sebi pričvršćenu medalju i pločicu. Plaketu je kao prvak primio svaki od sudionika pobjedničke plakete (Grims, Takač, Markušić i Čavić, kao momčad primili su srebrni lovorov vijenac (GMV 1399/2005). Srebrna medalja na sebi ima reljefni prikaz atletičara (bacača koplja, skakača u dalj i trkača na prepone), a pločica ispod ima ugravirani natpis CROSS COUNTRY / PRVAKU SAVSKE BAN / 4 X 3000 / VARAŽDIN 17. III. 1935. Sačuvana su dva primjerka, od kojih je jedan pripadao Arturu Takaču.",10.jpg
