Ime i Prezime,Opis kartice,Naziv fotografije
"Vesna Bajer
Domislovi?","(Varaždin, 25. 3. 1963.), varaždinska atleti?arka, dugoprigašica, ?lanica reprezentacije od 1982. do 1989. i lije?nica obiteljske medicine. Od 1980. trenira u AK Sloboda. Na prvenstvu Jugoslavije osvojila 9 medalja. Natjecala se i na Balkanskim atletskim igrama 1985. u Staroj Zagori (peta na 1500 m) i 1986. u Ljubljani (?etvrta na 800 m) te na Univerzijadi 1985. u Kobeu i 1987. u Zagrebu (sedma na 1500 m). Nastupila je i na me?udržavnim dvobojima i trobojima. U natjecanjima Kupa europskih prvakinja 1986. u Amsterdamu nastupala je za AK Slavoniju iz Osijeka i pobijedila na 1500 m, za  AK Crvenu Zvezdu iz Beograda 1988. u Lisabonu bila je prva na 800 m i ekipno tre?a te 1989. u Zürichu prva na 1500 m i ekipno druga. Sportašica Varaždina 1985. i 1987.",1.jpg
Antun / Zvonko Bezjak ,"(Varaždin, 29. 6. 1935. – Varaždin, 22. 7. 2023.), atleti?ar AK Sloboda do odlaska na studij u Zagreb gdje 1954. postoje ?lanom zagreba?kog AK Dinamo. Nastupio je 35 za državnu reprezentaciju. Prvak države bio je: 1956. u Zagrebu, 1958. u Beogradu, 1960. u Zagrebu i 1963. opet u Beogradu. Dvostruki omladinski prvak Jugoslavije u bacanju kugle i diska 1967. te dvostruki seniorski prvak  države u destoboju i bacanju kladiva 1971. Osvaja? je zlatne medalje na MI u Napulju 1963. Na OI u Rimu 1962. osvojio je šesto mjesto u finalu i bio najbolje plasirani natjecatelj iz Jugoslavije.",2.jpg
Zlatko Bezjak,"(Varaždin, 1949.), atleti?ar varaždinske AK Sloboda i zagreba?kog AK Dinamo. Dvostruki omladinski državni prvak u bacanju kugle i diska 1967., te dvostruki seniorski prvak države u desetoboju i u bacanju koplja 1971. Nastupao je i u reprezentaciji Jugoslavije.",
"?ur?a Borovec
Kožar","Varaždin, 17. 10. 1931. – Varaždin, 3. 1. 2019. ), gimnasti?arka, atleti?arka i baca?ica diska. ?etri je puta bila državna prvakinja - 1948., 1950., 1952. i 1958. godine. 1956. je postavila rekord u bacaju diska koji nije oboren punih 12 godina. Za reprezentaciju bivše države nastupala je 18 puta, a najve?i je rezultat ?ur?a Borovec ostvarila na Balkanijadi u Ateni 1957., s daljinom od 44,22 metra, gdje je bila bron?ana, a ostat ?e upam?en i njen nastup na atletskom Prvenstvu Europe 1950. godine u Bruxellesu. U svibnju 2001. godine u anketi Varaždinskih vijesti, po izboru trenera, kolega sportaša i sportskih entuzijasta, izabrana je za varaždinsku sportašicu stolje?a.",3.jpg
Franjo Bukovec,"(Selnik, 1901. -  Zagreb, 1931.), pionir organiziranog atletskog sporta u Varaždinu. Prvi pro?elnik atletske sekcije VŠK 1920. godine. U Varaždinu aktivan do 1920. kada zbog studija odlazi u Zagreb i pristupa HAŠK. Prvak akademskog prvenstva 1921. u skoku u vis (157) i na 110 m prepone (20,0), drugi u skoku s motkom (223). Iste godine na državnom prvenstvu drugi u skoku s motkom, a 1922. drugi u državi u utrci na 110 m prepone. Osniva? Sportskog društva u Ivancu 1920., a  bavio se i planinarstvom. Bio je sudionik Masarykovih igara u Pragu 1921.",4.jpg
Branko ?avi?,"istaknuti atleti?ar Slavije. Prvak Kraljevine Jugoslavije 1936. u disciplini na 5000 i 10000 m. ?lan državne reprezentacije, sudionik Balkanijade.",
"Marina Flajšman
Cmre?ki","(1962.), atleti?arka, trka?ica na kratke pruge, ?lanica AK Sloboda. Atletikom se po?ela baviti kao u?enice I. OŠ Varaždin, studira na FOI. Prvakinja SRH u tri kategorije (1979., seniorska 1981. i 1982.). Najbolje rezultate postizala je u utrci na 100 m. ?lanica reprezentacije Hrvatske od 1980. do 1989.  Višestruka državna prvakinja 1986. (na 100 metara s rezultatom 11.78, a na 200 metara 24.31). U sastavu reprezentacije Jugoslavije od 1981. Nastupila je na Prvenstvu Balkana 1982. u Bukureštu (šesta), 1983. u Izmiru (prva), 1985. u Staroj Zagori (tre?a u štafeti 4 x 100 m). Sudjelovala je na MI u Casablanci 1983. Najbolja sportašica Varaždina 1980., 1983., 1986.",7.jpg
Viktorija Florijan,"(1978.) bila je 1990. pionirska prvakinja Jugoslavije u bacanju diska, dok je u disciplini bacanja kugle bila ?etvrta. 1991. na pojedina?nom prvenstvu Hrvatske me?u seniorkama bila je prva u bacanju diska i kugle, 1992. kao starija juniorka prva u bacanju diska, a 1996. druga (me?u seniorkama - prva). Oborila dotadašnji rekord u bacanju kugle. Najbolja sportašica Varaždina 1991., 1993. – 1996.",
Dragan Grims ,"(Varaždin, 4. 9. 1907. - Varaždin, 19. 1. 1994.), atleti?ar i športski djelatnik, opti?ar, direktor Gethaldus Varaždin. Nižu gimnaziju završio u Varaždinu, a urarski i opti?arski zanat izu?io u o?evoj radnji te u urarskoj školi u Karlsteinu. Po?eo se baviti gimnastikom 1919. u Hrvatskom sokolu u Varaždinu. Atletikom se bavio od 1922. u Varaždinu, od 1923. u zagreba?kom AK Marathon. Godine 1931. osniva atletski klub u Tivarovu ŠK Slavija u Varaždinu i pokre?e ure?enje atletske staze od 500 m te prate?ih bacališta i skakališta. Aktivnim natjecanjem i stru?nim vo?enjem kluba 1934. dobiva status me?unarodnog atletskog suca te sudi na Balkanijadi u Zagrebu. Usporedo s atletikom od 1924. bavio se i planinarstvom. Organizator je gradnje planinarskog doma (Fili?eva ku?a) na Ravnoj gori kraj Trakoš?ana 1932. Od 1932. bavio se i skijanjem, od 1937. igrao je hokej na ledu, a 1939. zajedno s A. Taka?em osniva športsko društvo pod nazivom Varaždinsko športsko društvo s atletskom i hokejaškom sekcijom. Za atletiku je sam izradio nacrt kružne staze i ostalih borilišta. Godine 1946. utemeljitelj je samostalnog atletskog kluba Sloboda u Varaždinu, a od 1948. do 1951. jedan je od trenera državne ženske atletske reprezentacije za ?ije pripreme je u Varaždinu uredio Olimpijski logor. Od 1955. posve?uje se razvoju o?ne optike. Za zasluge u športu 1987. primio je Certifikat od Juana Antonija Samarancha.
DJELA: Spectrum. Skripta za teoriju i praksu o?ne optike. Varaždin, 1973.",
Mira Kanižaj,"(Zagreb, 1943.), hrvatska atleti?arka, bacanje koplja i diska. ?lanica AK Sloboda od 1957., a nakon odlaska na studij u Beograd 1961. i Crvene zvezde. Nastupala za seniorsku državnu reprezentaciju te ne Balkanskim igrama u Ateni 1960.",10.jpg
